@RELATION oversample

@ATTRIBUTE WCHU_fanIn NUMERIC
@ATTRIBUTE ck_oo_fanIn NUMERIC
@ATTRIBUTE ck_oo_cbo NUMERIC
@ATTRIBUTE WCHU_cbo NUMERIC
@ATTRIBUTE LDHH_numberOfAttributesInherited NUMERIC
@ATTRIBUTE ck_oo_numberOfAttributesInherited NUMERIC
@ATTRIBUTE WCHU_dit NUMERIC
@ATTRIBUTE WCHU_numberOfAttributesInherited NUMERIC
@ATTRIBUTE numberOfHighPriorityBugsFoundUntil: NUMERIC
@ATTRIBUTE CvsEntropy NUMERIC
@ATTRIBUTE numberOfCriticalBugsFoundUntil: NUMERIC
@ATTRIBUTE ck_oo_numberOfPrivateMethods NUMERIC
@ATTRIBUTE LDHH_numberOfPrivateMethods NUMERIC
@ATTRIBUTE WCHU_numberOfPrivateAttributes NUMERIC
@ATTRIBUTE ck_oo_numberOfPrivateAttributes NUMERIC
@ATTRIBUTE ck_oo_numberOfMethods NUMERIC
@ATTRIBUTE WCHU_numberOfPublicMethods NUMERIC
@ATTRIBUTE CvsLinEntropy NUMERIC
@ATTRIBUTE WCHU_numberOfAttributes NUMERIC
@ATTRIBUTE LDHH_numberOfPublicAttributes NUMERIC
@ATTRIBUTE ck_oo_numberOfPublicAttributes NUMERIC
@ATTRIBUTE ck_oo_numberOfAttributes NUMERIC
@ATTRIBUTE ck_oo_dit NUMERIC
@ATTRIBUTE WCHU_numberOfMethodsInherited NUMERIC
@ATTRIBUTE LDHH_numberOfMethods NUMERIC
@ATTRIBUTE WCHU_fanOut NUMERIC
@ATTRIBUTE WCHU_noc NUMERIC
@ATTRIBUTE ck_oo_numberOfLinesOfCode NUMERIC
@ATTRIBUTE class {buggy, clean}

@DATA
0.0,0,13,3.04,0.0,0,0.0,0.0,0,13.7363,1,10,0.003316,2.02,17,215,0.0,0.131523,2.02,0.0,0,17,1,1.01,0.003407,3.04,0.0,1585,buggy
5.05,20,25,7.07,0.039372,49,1.02,15.06,0,27.3456,1,0,0.0,0.0,0,23,5.06,0.054402,0.0,0.0,6,6,4,24.4,0.009593,5.06,1.01,333,buggy
1.02,3,8,2.03,0.01888,61,0.0,10.14,0,21.3849,0,0,0.0,0.0,0,11,1.01,0.163583,2.05,0.00084,10,16,4,10.15,0.002682,2.02,0.0,154,buggy
1.01,3,40,5.13,0.0,0,0.0,0.0,3,15.7278,0,2,0.013648,0.0,0,36,0.0,0.180249,3.04,0.0,0,15,2,2.03,0.014293,4.12,1.01,525,buggy
1.01,2,8,1.02,0.01888,52,0.0,10.12,0,7.86064,0,0,0.0,0.0,0,8,2.02,0.137064,1.01,0.00084,1,2,3,6.07,0.006875,1.01,0.0,69,buggy
0.0,1,2,0.0,0.01888,61,0.0,10.14,0,5.11213,0,0,0.0,0.0,0,3,0.0,0.008449,0.0,0.0,0,1,4,10.15,0.0,0.0,0.0,17,buggy
0.0,1,13,2.02,0.043647,421,1.02,23.66,0,11.2364,0,0,0.0,0.0,0,5,0.0,0.138916,0.0,0.0,2,2,5,5.06,0.0,2.02,0.0,184,buggy
0.0,1,4,0.0,0.025373,68,0.0,14.23,0,6.43425,0,0,0.0,0.0,0,4,0.0,0.026389,0.0,0.0,0,1,2,4.04,0.0,0.0,0.0,36,buggy
0.0,0,13,3.04,0.0,0,0.0,0.0,0,13.7363,1,10,0.003316,2.02,17,215,0.0,0.131523,2.02,0.0,0,17,1,1.01,0.003407,3.04,0.0,1585,buggy
0.0,1,7,2.02,0.041456,37,1.02,14.46,0,20.293,1,0,0.0,0.0,0,4,0.0,0.046806,1.02,0.000741,7,16,3,7.13,0.0,2.02,0.0,166,buggy
3.03,5,22,6.06,0.043647,384,1.02,23.66,0,30.738,3,0,0.0,0.0,0,17,1.01,0.197734,1.01,0.008082,13,13,4,5.06,0.00077,5.05,1.01,494,buggy
0.0,2,12,3.05,0.0,0,0.0,0.0,1,20.393,0,1,0.0,0.0,0,9,4.04,0.182453,2.08,0.00267,12,13,1,1.01,0.013624,3.05,0.0,230,buggy
0.0,0,0,0.0,0.008498,282,1.02,6.96,7,43.3291,8,0,0.0,1.01,9,0,0.0,0.188191,6.17,0.010975,43,129,1,1.01,0.0,0.0,0.0,0,buggy
0.0,0,0,0.0,0.008498,282,1.02,6.96,7,43.3291,8,0,0.0,1.01,9,0,0.0,0.188191,6.17,0.010975,43,129,1,1.01,0.0,0.0,0.0,0,buggy
2.02,3,18,6.18,0.001671,5,0.0,2.02,0,34.1638,1,30,0.004351,2.03,2,34,1.01,0.214757,2.03,0.0,0,2,2,1.01,0.006445,6.16,0.0,629,buggy
5.06,18,36,7.1,0.0,3,0.0,0.0,1,28.279,0,6,0.002697,1.01,2,20,1.02,0.078582,3.04,0.0,0,12,2,3.03,0.00528,5.09,0.0,1126,buggy
5.05,20,25,7.07,0.039372,49,1.02,15.06,0,27.3456,1,0,0.0,0.0,0,23,5.06,0.054402,0.0,0.0,6,6,4,24.4,0.009593,5.06,1.01,333,buggy
0.0,1,16,4.04,0.025373,68,0.0,14.23,1,22.443,0,0,0.0,0.0,0,11,0.0,0.179938,0.0,0.0,0,1,2,4.04,0.0,4.04,0.0,256,buggy
0.0,1,16,4.04,0.025373,68,0.0,14.23,1,22.443,0,0,0.0,0.0,0,11,0.0,0.179938,0.0,0.0,0,1,2,4.04,0.0,4.04,0.0,256,buggy
0.0,1,7,2.02,0.041456,37,1.02,14.46,0,20.293,1,0,0.0,0.0,0,4,0.0,0.046806,1.02,0.000741,7,16,3,7.13,0.0,2.02,0.0,166,buggy
1.01,1,22,10.16,0.001014,6,0.0,1.02,3,33.5493,0,1,0.017429,3.12,12,58,6.07,0.221837,1.08,0.001311,1,16,2,7.08,0.022768,9.14,0.0,952,buggy
5.05,22,40,9.13,0.04453,391,1.02,24.65,2,30.7687,2,2,0.000822,3.06,5,23,3.04,0.208173,5.12,0.004649,18,23,2,2.02,0.007283,6.09,0.0,536,buggy
2.02,3,39,10.17,0.0,0,0.0,0.0,1,36.8083,0,0,0.0,0.0,1,27,1.01,0.223532,4.09,0.0,1,20,1,2.02,0.006959,9.15,0.0,639,buggy
0.0,0,13,3.04,0.0,0,0.0,0.0,0,13.7363,1,10,0.003316,2.02,17,215,0.0,0.131523,2.02,0.0,0,17,1,1.01,0.003407,3.04,0.0,1585,buggy
0.0,2,17,3.03,0.043647,380,1.02,23.65,1,22.412,2,1,0.0,0.0,0,11,0.0,0.171808,2.03,0.003973,4,4,3,2.02,0.002191,3.03,0.0,217,buggy
0.0,1,13,3.04,0.023732,270,1.02,17.38,0,19.6547,0,0,0.0,0.0,0,2,0.0,0.042134,0.0,0.0,0,0,2,7.12,0.0,3.04,0.0,166,buggy
5.06,18,36,7.1,0.0,3,0.0,0.0,1,28.279,0,6,0.002697,1.01,2,20,1.02,0.078582,3.04,0.0,0,12,2,3.03,0.00528,5.09,0.0,1126,buggy
1.02,3,8,2.03,0.01888,61,0.0,10.14,0,21.3849,0,0,0.0,0.0,0,11,1.01,0.163583,2.05,0.00084,10,16,4,10.15,0.002682,2.02,0.0,154,buggy
0.0,2,17,3.03,0.043647,380,1.02,23.65,1,22.412,2,1,0.0,0.0,0,11,0.0,0.171808,2.03,0.003973,4,4,3,2.02,0.002191,3.03,0.0,217,buggy
5.06,18,36,7.1,0.0,3,0.0,0.0,1,28.279,0,6,0.002697,1.01,2,20,1.02,0.078582,3.04,0.0,0,12,2,3.03,0.00528,5.09,0.0,1126,buggy
0.0,1,7,1.01,0.029336,52,0.0,8.21,1,13.2934,1,0,0.0,0.0,0,2,0.0,0.155692,1.01,0.0,0,0,2,3.03,0.0,1.01,0.0,35,buggy
0.0,1,5,0.0,0.025373,68,0.0,14.23,0,7.90701,0,0,0.0,0.0,0,5,0.0,0.011926,0.0,0.0,0,1,2,4.04,0.0,0.0,0.0,69,buggy
1.01,3,9,3.03,0.01888,61,0.0,10.14,0,17.658,0,0,0.0,0.0,0,9,0.0,0.144149,3.03,0.001721,7,8,4,10.15,0.000853,2.02,1.01,240,buggy
17.19,129,156,21.24,0.001366,4,0.0,1.24,1,43.7616,5,16,0.009341,2.04,4,403,30.53,0.250347,2.04,0.0,1,5,2,2.02,0.052248,5.07,0.0,6571,buggy
