@RELATION undersample

@ATTRIBUTE WCHU_fanIn NUMERIC
@ATTRIBUTE ck_oo_fanIn NUMERIC
@ATTRIBUTE ck_oo_cbo NUMERIC
@ATTRIBUTE WCHU_cbo NUMERIC
@ATTRIBUTE LDHH_numberOfAttributesInherited NUMERIC
@ATTRIBUTE ck_oo_numberOfAttributesInherited NUMERIC
@ATTRIBUTE WCHU_dit NUMERIC
@ATTRIBUTE WCHU_numberOfAttributesInherited NUMERIC
@ATTRIBUTE numberOfHighPriorityBugsFoundUntil: NUMERIC
@ATTRIBUTE CvsEntropy NUMERIC
@ATTRIBUTE numberOfCriticalBugsFoundUntil: NUMERIC
@ATTRIBUTE ck_oo_numberOfPrivateMethods NUMERIC
@ATTRIBUTE LDHH_numberOfPrivateMethods NUMERIC
@ATTRIBUTE WCHU_numberOfPrivateAttributes NUMERIC
@ATTRIBUTE ck_oo_numberOfPrivateAttributes NUMERIC
@ATTRIBUTE ck_oo_numberOfMethods NUMERIC
@ATTRIBUTE WCHU_numberOfPublicMethods NUMERIC
@ATTRIBUTE CvsLinEntropy NUMERIC
@ATTRIBUTE WCHU_numberOfAttributes NUMERIC
@ATTRIBUTE LDHH_numberOfPublicAttributes NUMERIC
@ATTRIBUTE ck_oo_numberOfPublicAttributes NUMERIC
@ATTRIBUTE ck_oo_numberOfAttributes NUMERIC
@ATTRIBUTE ck_oo_dit NUMERIC
@ATTRIBUTE WCHU_numberOfMethodsInherited NUMERIC
@ATTRIBUTE LDHH_numberOfMethods NUMERIC
@ATTRIBUTE WCHU_fanOut NUMERIC
@ATTRIBUTE WCHU_noc NUMERIC
@ATTRIBUTE ck_oo_numberOfLinesOfCode NUMERIC
@ATTRIBUTE class {clean, buggy}

@DATA
1.01,1,4,0.0,0.0,1,0.0,0.0,0,2.64277,0,0,0.0,1.03,5,4,1.02,0.003978,1.03,0.0,0,5,3,2.06,0.00102,1.01,0.0,33,clean
2.03,14,17,2.03,0.0,0,0.0,0.0,0,3.9771,0,1,0.0,0.0,0,10,1.01,0.005853,0.0,0.0,4,4,1,1.02,0.000936,0.0,0.0,122,clean
0.0,1,6,1.01,0.0,0,0.0,0.0,0,1.26759,1,5,0.001464,0.0,2,9,0.0,0.00368,0.0,0.0,0,2,2,0.0,0.001765,1.01,0.0,75,clean
0.0,1,2,0.0,0.0,0,0.0,0.0,1,9.58612,0,2,0.0,0.0,3,5,0.0,0.013744,0.0,0.0,0,3,2,1.01,0.0,0.0,0.0,29,clean
19.24,91,91,19.24,0.002715,0,1.02,3.03,1,16.2655,0,0,0.0,0.0,0,8,1.01,0.183381,5.16,0.001485,0,28,1,1.01,0.000899,0.0,0.0,18,clean
0.0,1,4,0.0,0.0,1,0.0,0.0,0,2.26443,0,0,0.0,0.0,5,4,0.0,0.003745,0.0,0.0,0,5,3,0.0,0.0,0.0,0.0,33,clean
0.0,1,12,0.0,0.0,19,0.0,0.0,0,4.11229,1,3,0.003312,0.0,0,5,0.0,0.058398,0.0,0.0,3,3,3,1.01,0.003367,0.0,0.0,152,clean
0.0,3,33,4.05,0.0,0,0.0,0.0,2,21.0102,0,1,0.000462,0.0,0,23,2.05,0.146891,0.0,0.0,0,5,1,2.04,0.002996,4.04,0.0,781,clean
0.0,1,8,0.0,0.044485,397,1.02,24.67,0,4.98614,0,1,0.0,0.0,0,4,0.0,0.007549,0.0,0.0,0,0,5,5.07,0.0,0.0,0.0,65,clean
4.04,11,17,4.05,0.005599,9,1.01,2.05,1,11.8043,0,0,0.0,1.01,0,24,4.05,0.133889,2.04,0.0,0,10,5,4.07,0.003794,2.03,0.0,193,clean
0.0,0,0,0.0,0.0,0,0.0,0.0,0,4.07501,0,0,0.0,0.0,1,1,0.0,0.006219,0.0,0.0,0,9,1,2.03,0.0,0.0,0.0,3,clean
0.0,1,12,1.01,0.0,0,0.0,0.0,0,7.06348,0,4,0.0,0.0,1,15,0.0,0.009978,0.0,0.0,1,5,2,1.01,0.0,1.01,0.0,163,clean
0.0,0,7,0.0,0.0,0,0.0,0.0,0,10.4982,0,1,0.0,0.0,2,4,0.0,0.148309,0.0,0.0,0,2,1,0.0,0.0,0.0,0.0,50,clean
0.0,3,12,1.02,0.004526,68,0.0,1.04,1,8.73596,0,0,0.0,0.0,0,11,0.0,0.134499,0.0,0.0,0,0,5,11.29,0.001036,1.02,1.01,67,clean
0.0,2,2,0.0,0.0,0,0.0,0.0,0,5.96416,0,0,0.0,0.0,0,3,0.0,0.010614,0.0,0.0,0,0,1,1.01,0.0,0.0,5.07,9,clean
0.0,2,2,0.0,0.0,2,0.0,0.0,0,4.07501,0,0,0.0,0.0,0,1,0.0,0.006219,0.0,0.0,0,0,2,3.08,0.0,0.0,0.0,3,clean
3.03,7,15,4.04,0.0,0,0.0,0.0,0,11.0206,0,1,0.0,1.01,5,8,1.01,0.031931,1.01,0.0,1,6,1,1.01,0.001525,1.01,1.01,126,clean
0.0,1,5,0.0,0.043647,397,1.02,23.65,0,4.07501,0,0,0.0,0.0,0,4,0.0,0.006219,0.0,0.0,0,0,6,3.03,0.0,0.0,0.0,26,clean
0.0,1,2,1.01,0.0,0,0.0,0.0,0,4.23423,0,0,0.0,0.0,0,3,2.08,0.006973,1.01,0.001588,0,6,1,2.08,0.002067,1.01,1.01,19,clean
0.0,1,26,3.06,0.0,6,0.0,0.0,0,7.87568,0,4,0.00303,0.0,7,60,0.0,0.158058,0.0,0.0,0,7,2,0.0,0.003037,3.06,0.0,402,clean
0.0,2,4,0.0,0.0,0,0.0,0.0,0,3.9771,0,1,0.0,0.0,0,7,0.0,0.005853,0.0,0.0,4,4,1,1.01,0.0,0.0,0.0,79,clean
0.0,1,9,0.0,0.0,19,0.0,0.0,0,9.14442,0,1,0.0,0.0,0,7,0.0,0.016474,1.01,0.001692,0,0,2,1.01,0.0,0.0,0.0,255,clean
1.01,3,5,1.01,0.001939,2,0.0,2.02,0,1.70656,0,0,0.0,0.0,2,6,0.0,0.001973,0.0,0.0,0,2,1,1.01,0.0,0.0,0.0,21,clean
0.0,2,2,0.0,0.0,54,0.0,0.0,1,0.0,0,0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0,1,5,0.0,0.0,0.0,0.0,7,clean
0.0,0,6,1.01,0.043647,385,1.02,23.66,0,9.8326,0,0,0.0,0.0,0,8,0.0,0.015947,0.0,0.0,1,3,6,5.06,0.0,1.01,0.0,110,clean
2.02,27,35,2.02,0.043647,380,1.02,23.65,1,12.6182,1,0,0.0,0.0,0,11,0.0,0.017605,0.0,0.0,0,0,2,2.02,0.0,0.0,0.0,99,clean
0.0,1,4,0.0,0.02857,397,0.0,10.34,0,2.07169,0,0,0.0,0.0,0,3,0.0,0.13249,0.0,0.0,0,0,5,2.02,0.0,0.0,0.0,44,clean
0.0,1,13,1.01,0.0,18,0.0,0.0,0,9.60428,1,0,0.0,0.0,0,5,0.0,0.014686,0.0,0.0,0,0,2,4.04,0.0,1.01,0.0,141,clean
1.01,2,7,1.01,0.001421,95,0.0,1.01,0,7.95479,0,0,0.0,0.0,3,14,0.0,0.154542,0.0,0.0,0,5,3,2.02,0.0,0.0,0.0,106,clean
1.01,13,20,1.01,0.0,0,0.0,0.0,1,9.33444,0,0,0.0,0.0,2,9,0.0,0.014443,1.01,0.000513,6,8,1,1.01,0.0,0.0,0.0,149,clean
0.0,1,2,0.0,0.033474,384,0.0,14.63,0,2.36846,0,0,0.0,0.0,1,4,0.0,0.004246,0.0,0.0,1,4,4,2.02,0.0,0.0,0.0,23,clean
0.0,1,2,0.0,0.043647,386,1.02,23.65,0,5.19438,0,0,0.0,0.0,0,4,0.0,0.007845,0.0,0.0,0,0,6,5.06,0.0,0.0,0.0,29,clean
0.0,0,0,0.0,0.0,0,0.0,0.0,0,4.07501,0,0,0.0,0.0,1,1,0.0,0.006219,0.0,0.0,0,9,1,2.03,0.0,0.0,0.0,3,clean
0.0,2,3,0.0,0.0,53,0.0,0.0,1,0.0,0,0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,0,1,5,0.0,0.0,0.0,0.0,10,clean
1.01,2,8,1.01,0.043647,385,1.02,23.66,0,6.88643,0,1,0.0,0.0,0,8,1.01,0.015043,0.0,0.0,2,5,6,8.1,0.001525,0.0,0.0,71,clean
0.0,2,26,1.04,0.0,0,0.0,0.0,2,9.38026,0,0,0.0,0.0,0,7,0.0,0.139236,0.0,0.0,8,8,1,1.01,0.0,1.04,0.0,162,clean
0.0,4,4,0.0,0.001441,6,0.0,1.01,0,4.08525,0,0,0.0,0.0,1,1,0.0,0.005998,0.0,0.0,0,1,3,2.03,0.0,0.0,0.0,3,clean
0.0,0,7,0.0,0.0,0,0.0,0.0,0,10.4982,0,1,0.0,0.0,2,4,0.0,0.148309,0.0,0.0,0,2,1,0.0,0.0,0.0,0.0,50,clean
1.01,2,7,1.01,0.001421,95,0.0,1.01,0,9.21914,0,1,0.000673,0.0,3,18,0.0,0.155078,0.0,0.0,0,5,3,2.02,0.00159,1.01,0.0,123,clean
4.06,20,20,5.07,0.043647,380,1.02,23.65,1,7.7102,0,0,0.0,0.0,0,5,0.0,0.015036,1.02,0.002662,7,7,2,2.02,0.0,1.01,1.01,35,clean
4.05,6,11,3.04,0.001421,97,0.0,1.01,1,8.43242,0,0,0.0,0.0,4,18,0.0,0.153579,0.0,0.0,0,9,3,3.03,0.001036,1.01,0.0,136,clean
